amount,counter
1,316724
10,7755
100,16
1002,2
1005,3
101,25
102,22
103,19
104,12
1043,1
1046,1
105,10
1056,3
106,10
1061,1
1062,1
1063,1
107,13
108,9
109,12
11,5830
110,9
1107,1
111,12
112,11
113,19
114,14
115,15
116,14
117,10
118,14
119,11
1191,1
12,4323
120,13
121,17
122,16
123,6
124,8
125,7
126,12
127,15
128,10
129,15
13,3358
130,8
131,6
1315,1
132,6
133,8
134,8
135,4
136,10
137,4
138,9
139,12
1395,1
14,2645
140,7
141,10
1412,1
1416,1
142,3
143,14
144,7
145,16
146,12
147,16
148,9
149,5
15,2144
150,12
151,14
152,12
153,6
154,14
1547,2
155,8
156,17
157,6
158,16
159,14
16,1798
160,9
161,16
162,10
163,8
164,15
165,6
166,9
167,9
168,5
169,6
17,1439
170,9
171,9
172,4
173,9
174,6
175,5
176,8
177,3
178,5
179,5
18,1244
180,6
181,8
182,4
183,10
184,3
185,7
186,3
187,4
188,2
189,4
19,1045
190,4
191,5
192,3
193,3
194,7
195,6
196,4
197,6
198,11
199,4
2,358889
20,975
200,10
201,3
202,7
203,6
2034,1
204,6
205,9
206,4
207,5
208,1
209,10
21,782
210,5
211,5
213,5
214,5
216,6
217,2
218,2
219,5
22,762
220,9
221,10
222,1
223,6
224,2
225,4
226,6
227,6
228,10
229,3
23,646
230,2
231,3
232,8
233,5
234,1
235,6
236,1
237,1
238,4
239,3
24,624
240,5
241,3
242,2
243,3
244,2
245,1
246,1
247,4
248,4
249,5
25,583
250,3
253,3
254,1
255,5
256,3
258,2
259,2
26,503
260,6
261,6
2612,1
262,5
263,3
264,3
265,6
267,1
269,4
27,450
270,1
271,4
272,1
274,4
275,3
276,2
277,4
278,2
279,4
28,395
280,4
281,6
283,2
2832,1
284,1
287,1
288,1
29,348
290,2
291,2
293,3
297,1
3,256379
30,335
302,2
303,8
304,7
305,1
306,2
307,1
308,4
309,2
31,326
311,3
312,5
313,3
314,4
315,7
316,1
317,3
318,1
319,2
32,273
320,2
321,2
322,2
323,1
325,1
328,2
329,2
33,257
332,1
333,5
334,3
335,5
336,3
337,4
338,3
339,5
34,221
340,4
341,3
342,3
343,4
344,1
345,5
346,2
347,1
348,3
349,10
35,215
350,4
351,7
352,2
353,2
354,1
355,3
356,3
357,4
358,8
359,4
36,211
360,3
361,4
362,2
363,3
364,5
365,5
366,3
367,2
368,4
369,1
37,189
370,3
371,2
373,3
374,1
376,4
377,4
378,4
379,4
38,179
380,4
381,5
382,1
383,4
384,8
385,8
386,1
387,4
388,3
389,1
39,171
391,2
392,1
393,1
395,2
397,4
398,2
399,3
4,135652
40,158
400,3
401,1
402,3
403,9
404,1
405,8
406,2
407,4
408,16
409,6
41,139
410,6
411,3
412,9
413,4
414,10
415,5
416,5
417,2
418,6
419,7
42,122
420,1
421,1
422,3
423,1
425,8
426,4
427,3
428,3
429,3
43,128
430,5
431,5
432,6
433,2
434,2
435,4
437,2
438,3
439,2
44,112
444,2
446,2
447,2
448,3
449,2
45,112
450,5
451,3
452,6
454,1
46,93
461,3
464,2
465,2
468,2
469,1
47,75
471,2
472,5
473,3
474,1
475,5
476,4
477,1
478,1
48,89
481,1
485,3
486,4
488,1
49,92
493,1
495,1
496,6
498,3
499,2
5,66635
50,96
500,2
501,1
502,2
507,2
51,63
510,1
511,1
512,2
513,2
514,1
515,11
516,4
518,2
52,73
523,2
53,70
533,1
536,1
54,69
540,1
541,1
542,1
544,1
545,1
546,1
547,1
548,1
55,75
550,1
551,1
553,1
554,1
56,67
562,1
569,1
57,77
570,1
571,1
574,1
576,1
578,1
579,1
58,62
581,3
582,1
586,2
587,1
588,6
589,4
59,66
590,1
591,2
592,9
593,1
594,2
595,5
597,7
6,37178
60,67
608,1
609,2
61,54
610,1
618,2
619,6
62,43
620,5
621,1
622,15
623,9
624,10
625,2
626,2
627,2
628,3
629,2
63,53
630,3
631,4
633,2
634,4
635,2
636,1
637,1
639,1
64,49
65,41
650,2
651,2
653,4
655,2
656,1
657,1
658,4
659,1
66,57
660,13
661,1
668,2
67,62
670,2
671,1
674,2
675,1
676,1
677,1
678,3
68,39
681,1
684,4
685,1
686,1
688,1
69,41
690,1
693,2
694,1
695,2
696,1
697,2
698,1
699,2
7,23141
70,41
700,5
701,6
702,11
703,8
704,10
705,9
706,9
707,4
708,1
709,2
71,42
710,5
711,1
712,3
714,2
718,1
719,1
72,38
720,1
721,3
723,1
724,1
725,3
726,3
727,9
728,3
729,6
73,37
730,2
731,2
732,1
733,1
734,4
735,11
736,3
737,3
74,43
740,1
741,1
744,2
75,20
750,1
755,1
756,2
758,1
76,35
760,1
764,1
766,5
767,4
768,6
769,9
77,32
770,5
771,2
772,6
773,5
774,2
775,3
776,2
777,2
778,1
779,2
78,34
781,2
786,1
79,28
790,1
791,1
795,1
798,1
799,1
8,15683
80,27
800,1
803,2
804,2
805,2
81,26
810,1
816,1
819,1
82,24
83,33
84,24
849,1
85,31
850,1
851,1
852,2
86,34
860,1
865,1
87,27
871,2
873,1
875,1
877,2
879,1
88,25
880,1
89,17
892,1
893,1
894,1
896,2
9,10740
90,28
900,1
903,1
904,1
908,1
91,18
92,25
920,1
922,1
923,1
924,1
93,24
938,1
94,23
944,1
95,18
956,2
96,18
961,1
962,2
963,2
967,3
968,1
97,14
970,1
973,1
975,1
976,1
98,18
982,2
989,1
99,14
995,1
996,1
